key,en,gr,es
str_126,"He created a team and opened a ""Club"" in a public space, free for young people involved in culture, mental health, and awareness initiatives. Friends helped create a social media channel.","Δημιούργησε μια ομάδα και άνοιξε μια «Λέσχη» σε δημόσιο χώρο, δωρεάν για νέους που ασχολούνται με τον πολιτισμό, την ψυχική υγεία και πρωτοβουλίες ευαισθητοποίησης. Φίλοι του βοήθησαν στη δημιουργία ενός καναλιού κοινωνικής δικτύωσης.","Creó un equipo y abrió un ""Club"" en un espacio público, gratuito para jóvenes involucrados en iniciativas culturales, de salud mental y de sensibilización. Amigos ayudaron a crear un canal en redes sociales."
str_127,🌟 The impact,🌟 Ο αντίκτυπος,🌟 El impacto
str_128,They named it,Το ονόμασαν,Lo llamaron
str_129,. The club became a youth-led centre where all feel free to express themselves. Mário now inspires others and builds positive relations across his community.,"Η λέσχη έγινε ένα κέντρο με επικεφαλής νέους, όπου όλοι αισθάνονται ελεύθεροι να εκφραστούν. Ο Mário εμπνέει πλέον άλλους και χτίζει θετικές σχέσεις σε όλη την κοινότητά του.",. El club se convirtió en un centro dirigido por jóvenes donde todos se sienten libres de expresarse. Ahora Mário inspira a otros y construye relaciones positivas en su comunidad.
str_130,Fridays for YOUng: não fiques só chateado — fala e faz acontecer,Παρασκευές για YOUng: Μην μένεις απλώς αναστατωμένος/η — μίλα ανοιχτά και κάνε το να συμβεί.,Viernes para YOUng: não fiques só chateado — fala e faz acontecer
str_131,Step 03 — Team & Collaboration,Βήμα 03 — Ομάδα και Συνεργασία,Paso 03 — Equipo y Colaboración
str_132,ME &,ΕΓΩ &,YO &
str_133,Others,Άλλα,Otros
str_134,"Youth finds inspiration in many places. Transforming ideas into Social Impact Projects can feel like a giant task — this module guides you on how to share your cause, awaken motivation in others, and get them on board.","Οι νέοι βρίσκουν έμπνευση σε πολλά μέρη. Η μετατροπή ιδεών σε Έργα Κοινωνικού Αντίκτυπου μπορεί να μοιάζει με ένα γιγάντιο έργο — αυτή η ενότητα σας καθοδηγεί στο πώς να μοιραστείτε τον σκοπό σας, να αφυπνίσετε το κίνητρο σε άλλους και να τους ενθαρρύνετε να συμμετάσχουν.","La juventud encuentra inspiración en muchos lugares. Transformar ideas en Proyectos de Impacto Social puede parecer una tarea enorme — este módulo te guía sobre cómo compartir tu causa, despertar la motivación en los demás y conseguir que se sumen."
str_135,Hover for more ↗,Τοποθετήστε τον δείκτη του ποντικιού για περισσότερα ↗,Pasa el cursor para más ↗ información
str_136,"Youth finds inspiration in many places. But for many, transforming fresh ideas into Social Impact Projects can feel like a giant task. In response to your demand for more accessible tools for activism, we will guide you on how to share your cause, awaken motivation in others and have them on board!","Οι νέοι βρίσκουν έμπνευση σε πολλά μέρη. Αλλά για πολλούς, η μετατροπή φρέσκων ιδεών σε Έργα Κοινωνικού Αντίκτυπου μπορεί να μοιάζει με ένα γιγάντιο έργο. Ανταποκρινόμενοι στην απαίτησή σας για πιο προσβάσιμα εργαλεία για ακτιβισμό, θα σας καθοδηγήσουμε για το πώς να μοιραστείτε τον σκοπό σας, να αφυπνίσετε το κίνητρο σε άλλους και να τους εμπλέξετε!","La juventud encuentra inspiración en muchos lugares. Pero para muchos, transformar ideas frescas en Proyectos de Impacto Social puede parecer una tarea enorme. En respuesta a tu demanda de herramientas más accesibles para el activismo, te guiaremos sobre cómo compartir tu causa, despertar la motivación en los demás y que ellos estén a bordo."
str_137,"Communication is essential when working in a culturally diverse environment and requires adaptability, flexibility and positivity. By observing actions and listening without judgement, you can understand how people from different backgrounds act and behave — crucial for avoiding misunderstandings and collaborating effectively.","Η επικοινωνία είναι απαραίτητη όταν εργάζεστε σε ένα πολιτισμικά ποικιλόμορφο περιβάλλον και απαιτεί προσαρμοστικότητα, ευελιξία και θετικότητα. Παρατηρώντας τις ενέργειες και ακούγοντας χωρίς κρίση, μπορείτε να κατανοήσετε πώς ενεργούν και συμπεριφέρονται άνθρωποι από διαφορετικά υπόβαθρα — κάτι ζωτικής σημασίας για την αποφυγή παρεξηγήσεων και την αποτελεσματική συνεργασία.","La comunicación es esencial cuando se trabaja en un entorno culturalmente diverso y requiere adaptabilidad, flexibilidad y positividad. Observando las acciones y escuchando sin juicios, puedes entender cómo actúan y se comportan personas de diferentes orígenes — algo crucial para evitar malentendidos y colaborar eficazmente."
str_138,Intercultural communication,Διαπολιτισμική επικοινωνία,Comunicación intercultural
str_139,"Essential in culturally diverse environments. Needs adaptability, flexibility, and positivity — observe and listen without judgement.","Απαραίτητο σε πολιτισμικά ποικιλόμορφα περιβάλλοντα. Χρειάζεται προσαρμοστικότητα, ευελιξία και θετικότητα — παρατηρήστε και ακούστε χωρίς κρίση.","Esencial en entornos culturalmente diversos. Necesita adaptabilidad, flexibilidad y positividad: observa y escucha sin juzgar."
str_140,Click for exercise ↓,Κάντε κλικ για άσκηση ↓,Haz clic para hacer ejercicio ↓
str_141,"Co-creation takes collaboration to the next level. Each team member can contribute their unique perspective, skills and experiences to produce the best possible solution with the greatest impact. In the HUMAN project, co-creation refers to the relationship that youth workers and young leaders build to stimulate positive change through the creation, planning and implementation of a Social Impact Project.","Η συν-δημιουργία ανεβάζει τη συνεργασία στο επόμενο επίπεδο. Κάθε μέλος της ομάδας μπορεί να συνεισφέρει τη μοναδική του οπτική, τις δεξιότητες και τις εμπειρίες του για να παράγει την καλύτερη δυνατή λύση με τον μεγαλύτερο αντίκτυπο. Στο έργο HUMAN, η συν-δημιουργία αναφέρεται στη σχέση που χτίζουν οι εργαζόμενοι στον τομέα της νεολαίας και οι νέοι ηγέτες για να τονώσουν τη θετική αλλαγή μέσω της δημιουργίας, του σχεδιασμού και της υλοποίησης ενός Έργου Κοινωνικού Αντίκτυπου.","La co-creación lleva la colaboración al siguiente nivel. Cada miembro del equipo puede aportar su perspectiva, habilidades y experiencias únicas para producir la mejor solución posible con el mayor impacto. En el proyecto HUMAN, la co-creación se refiere a la relación que los trabajadores juveniles y los jóvenes líderes construyen para estimular un cambio positivo mediante la creación, planificación e implementación de un Proyecto de Impacto Social."
str_142,Co-creation,Συν-δημιουργία,Co-creación
str_143,"Each member contributes unique perspectives, skills and experience. Co-creation elevates collaboration and stimulates positive change.","Κάθε μέλος συνεισφέρει μοναδικές απόψεις, δεξιότητες και εμπειρία. Η συνδημιουργία ενισχύει τη συνεργασία και διεγείρει τη θετική αλλαγή.","Cada miembro aporta perspectivas, habilidades y experiencia únicas. La co-creación eleva la colaboración y estimula el cambio positivo."
str_144,"Empathy is an essential leadership skill — the capacity to understand the needs of others, and to be aware of their feelings and thoughts. Our capacity to be empathetic towards others is not innate; it can be developed.",Η ενσυναίσθηση είναι μια απαραίτητη ηγετική δεξιότητα — η ικανότητα να κατανοούμε τις ανάγκες των άλλων και να έχουμε επίγνωση των συναισθημάτων και των σκέψεών τους. Η ικανότητά μας να δείχνουμε ενσυναίσθηση προς τους άλλους δεν είναι έμφυτη. Μπορεί να αναπτυχθεί.,La empatía es una habilidad esencial de liderazgo: la capacidad de entender las necesidades de los demás y de ser consciente de sus sentimientos y pensamientos. Nuestra capacidad para ser empáticos con los demás no es innata; Se puede desarrollar.
str_145,❤️,❤️,❤️
str_146,Empathy,Ενσυναίσθηση,Empatía
str_147,"The capacity to understand others' needs, be aware of their feelings and thoughts. Not innate — it can be actively developed.","Η ικανότητα να κατανοείς τις ανάγκες των άλλων, να έχεις επίγνωση των συναισθημάτων και των σκέψεών τους. Δεν είναι έμφυτη — μπορεί να αναπτυχθεί ενεργά.","La capacidad de entender las necesidades de los demás, ser consciente de sus sentimientos y pensamientos. No es innato — puede desarrollarse activamente."
str_148,"Delegation means assigning tasks to each team member, trusting in their capabilities to achieve the expected results on time. It is important to involve your team in the delegation process and empower team members to decide which tasks should be delegated to them. Focus on results rather than how the work should be done — your way is not necessarily the only or even the best way!","Ανάθεση αρμοδιοτήτων σημαίνει ανάθεση καθηκόντων σε κάθε μέλος της ομάδας, εμπιστευόμενοι τις δυνατότητές του να επιτύχει τα αναμενόμενα αποτελέσματα εγκαίρως. Είναι σημαντικό να εμπλέξετε την ομάδα σας στη διαδικασία ανάθεσης και να ενδυναμώσετε τα μέλη της ομάδας ώστε να αποφασίσουν ποιες εργασίες πρέπει να τους ανατεθούν. Εστιάστε στα αποτελέσματα και όχι στο πώς πρέπει να γίνει η εργασία — ο δικός σας τρόπος δεν είναι απαραίτητα ο μόνος ή ακόμα και ο καλύτερος!","Delegar significa asignar tareas a cada miembro del equipo, confiando en sus capacidades para lograr los resultados esperados a tiempo. Es importante involucrar a tu equipo en el proceso de delegación y capacitar a los miembros para que decidan qué tareas deben delegarles. Concéntrate en los resultados en lugar de en cómo debe hacerse el trabajo — tu manera no es necesariamente la única ni siquiera la mejor."
str_149,Delegation,Αντιπροσωπεία,Delegación
str_150,"Assigning tasks to team members and trusting their capabilities. Involve your team in the delegation process and focus on results, not method.","Ανάθεση καθηκόντων στα μέλη της ομάδας και εμπιστοσύνη στις δυνατότητές τους. Συμπεριλάβετε την ομάδα σας στη διαδικασία ανάθεσης καθηκόντων και επικεντρωθείτε στα αποτελέσματα, όχι στη μέθοδο.","Asignar tareas a los miembros del equipo y confiar en sus capacidades. Involucra a tu equipo en el proceso de delegación y céntrate en los resultados, no en el método."
str_151,Team building,Χτίζοντας ομάδα,Formación de equipos
str_152,"Working with your team to define roles, build trust, and create an environment where everyone can contribute effectively.","Συνεργασία με την ομάδα σας για τον καθορισμό ρόλων, την οικοδόμηση εμπιστοσύνης και τη δημιουργία ενός περιβάλλοντος όπου όλοι μπορούν να συνεισφέρουν αποτελεσματικά.","Trabajar con tu equipo para definir roles, generar confianza y crear un entorno donde todos puedan contribuir eficazmente."
str_153,✕ Close,✕ Κλείσιμο,✕ Cerrar
str_154,🌐 Intercultural Communication — Reflection Exercise,🌐 Διαπολιτισμική Επικοινωνία — Άσκηση Αναστοχασμού,🌐 Comunicación intercultural — Ejercicio de reflexión
str_155,Think of a situation where you experienced cultural diversity. Reflect on: What did you know about the other person's background? What made you curious? What did you feel when you encountered something different from what you expected? How did you react — and how would you react differently now?,Σκεφτείτε μια περίπτωση όπου βιώσατε πολιτισμική ποικιλομορφία. Αναλογιστείτε: Τι γνωρίζατε για το υπόβαθρο του άλλου ατόμου; Τι σας κέντρισε την περιέργεια; Τι νιώσατε όταν αντιμετωπίσατε κάτι διαφορετικό από αυτό που περιμένατε; Πώς αντιδράσατε — και πώς θα αντιδρούσατε διαφορετικά τώρα;,Piensa en una situación en la que experimentaste diversidad cultural. Reflexiona sobre: ¿Qué sabías sobre el pasado de la otra persona? ¿Qué te despertó la curiosidad? ¿Qué sentiste al encontrarte con algo diferente a lo que esperabas? ¿Cómo reaccionaste — y cómo reaccionarías de forma diferente ahora?
str_156,🔄 Co-creation — Safe Space Exercise,🔄 Συν-δημιουργία — Άσκηση Ασφαλούς Χώρου,🔄 Co-creación — Ejercicio de Espacio Seguro
str_157,"Reflect on ways to create safe spaces where team members feel comfortable sharing their opinions. Consider: small group discussions, informal conversations, anonymous questionnaires, written or visual sharing methods, and turn-taking rules. Which of these could work in your team right now?","Σκεφτείτε τρόπους για να δημιουργήσετε ασφαλείς χώρους όπου τα μέλη της ομάδας αισθάνονται άνετα να μοιράζονται τις απόψεις τους. Σκεφτείτε: συζητήσεις σε μικρές ομάδες, άτυπες συζητήσεις, ανώνυμα ερωτηματολόγια, γραπτές ή οπτικές μεθόδους ανταλλαγής και κανόνες εναλλάξ. Ποιο από αυτά θα μπορούσε να λειτουργήσει στην ομάδα σας αυτή τη στιγμή;","Reflexiona sobre formas de crear espacios seguros donde los miembros del equipo se sientan cómodos compartiendo sus opiniones. Consideremos: discusiones en grupos pequeños, conversaciones informales, cuestionarios anónimos, métodos de intercambio escrito o visual, y reglas para turnar. ¿Cuál de estos podría funcionar en tu equipo ahora mismo?"
str_158,❤️ Empathy — Connection Exercise,❤️ Ενσυναίσθηση — Άσκηση Σύνδεσης,❤️ Empatía — Ejercicio de Conexión
str_159,"Seek out opportunities to connect with people from different backgrounds. Create a safe space for conversation. Try to identify what makes them feel happy and comfortable. Show genuine interest — without judgement — in the differences you discover. Practice active listening: listen to understand, not just to respond.","Αναζητήστε ευκαιρίες για να συνδεθείτε με άτομα από διαφορετικά υπόβαθρα. Δημιουργήστε έναν ασφαλή χώρο για συζήτηση. Προσπαθήστε να εντοπίσετε τι τους κάνει να αισθάνονται χαρούμενοι και άνετοι. Δείξτε γνήσιο ενδιαφέρον — χωρίς να κρίνετε — για τις διαφορές που ανακαλύπτετε. Εξασκηθείτε στην ενεργητική ακρόαση: ακούστε για να καταλάβετε, όχι απλώς για να απαντήσετε.","Busca oportunidades para conectar con personas de diferentes orígenes. Crea un espacio seguro para la conversación. Intenta identificar qué les hace sentir felices y cómodos. Muestra interés genuino — sin juicios — en las diferencias que descubres. Practica la escucha activa: escucha para entender, no solo para responder."
str_160,📋 Delegation — Team Mapping Exercise,📋 Ανάθεση Αρμοδιοτήτων — Άσκηση Χαρτογράφησης Ομάδων,📋 Delegación — Ejercicio de Mapeo en Equipo
str_161,"Evaluate the main competencies of each team member. Then assign tasks that allow them to develop and strengthen those competencies — including their areas for improvement. Involve the team in deciding which tasks should be delegated to whom. Remember: focus on results, not on how the work is done.","Αξιολογήστε τις κύριες ικανότητες κάθε μέλους της ομάδας. Στη συνέχεια, αναθέστε εργασίες που τους επιτρέπουν να αναπτύξουν και να ενισχύσουν αυτές τις ικανότητες — συμπεριλαμβανομένων των τομέων βελτίωσης που χρήζουν βελτίωσης. Εμπλέξτε την ομάδα στη λήψη απόφασης για το ποιες εργασίες πρέπει να ανατεθούν σε ποιον. Θυμηθείτε: επικεντρωθείτε στα αποτελέσματα, όχι στον τρόπο με τον οποίο γίνεται η εργασία.","Evalúa las principales competencias de cada miembro del equipo. Luego asigna tareas que les permitan desarrollar y fortalecer esas competencias — incluyendo sus áreas de mejora. Involucra al equipo en la decisión de qué tareas delegar a quién. Recuerda: céntrate en los resultados, no en cómo se realiza el trabajo."
str_162,Storytelling for Change,Αφήγηση ιστοριών για την αλλαγή,Contar historias para el cambio
str_163,Build your powerful story,Χτίστε τη δική σας δυνατή ιστορία,Construye tu poderosa historia
str_164,"Storytelling creates trust, increases interest, and engages your audience so they can understand and share your vision. A compelling story moves people from observers to participants.","Η αφήγηση δημιουργεί εμπιστοσύνη, αυξάνει το ενδιαφέρον και εμπνέει το κοινό σας, ώστε να μπορεί να κατανοήσει και να μοιραστεί το όραμά σας. Μια συναρπαστική ιστορία μετατρέπει τους ανθρώπους από παρατηρητές σε συμμετέχοντες.","Contar historias genera confianza, aumenta el interés y capta la atención de tu audiencia para que puedan entender y compartir tu visión. Una historia impactante mueve a la gente, de observadores a participantes."
str_165,How to build a powerful story →,Πώς να δημιουργήσετε μια δυνατή ιστορία →,Cómo construir una historia poderosa →
str_166,"✨ Your ""why""","✨ Το ""γιατί"" σου","✨ Tu ""por qué"""
str_167,The deep motivation behind your action,Το βαθύ κίνητρο πίσω από τη δράση σας,La profunda motivación detrás de tu acción
str_168,🎭 The challenge,🎭 Η πρόκληση,🎭 El reto
str_169,The problem you have identified and experienced,Το πρόβλημα που εντοπίσατε και αντιμετωπίσατε,El problema que has identificado y experimentado
str_170,🌟 The transformation,🌟 Η μεταμόρφωση,🌟 La transformación
str_171,What changed because of your action,Τι άλλαξε λόγω της ενέργειάς σας,¿Qué cambió por tu acción?
str_172,📣 The invitation,📣 Η πρόσκληση,📣 La invitación
str_173,How others can join your movement,Πώς μπορούν άλλοι να συμμετάσχουν στο κίνημά σας,Cómo otros pueden unirse a tu movimiento
str_174,Step 04 — Social Impact,Βήμα 04 — Κοινωνικός Αντίκτυπος,Paso 04 — Impacto Social
str_175,ME & the,ΕΓΩ & το,Yo y el
str_176,Community is a central element of identity.,Η κοινότητα είναι κεντρικό στοιχείο της ταυτότητας.,La comunidad es un elemento central de la identidad.
str_177,to explore what it means for your work as a young leader.,για να διερευνήσετε τι σημαίνει για το έργο σας ως νεαρός ηγέτης.,Explorar qué significa para tu trabajo como una persona jóven con liderazgo
str_178,Click each pillar,Κάντε κλικ σε κάθε πυλώνα,Haz clic en cada pilar
str_179,Why young people?,Γιατί οι νέοι;,¿Por qué las personas jóvenes?
str_180,"Young people have unique potential, as well as the energy, enthusiasm, optimism and creativity to seek collaborative solutions to complex challenges. Young people are vital in addressing local issues because they live the daily reality of their neighbourhoods, know the strengths and vulnerabilities of their communities, and understand the culture and common values.","Οι νέοι έχουν μοναδικές δυνατότητες, καθώς και την ενέργεια, τον ενθουσιασμό, την αισιοδοξία και τη δημιουργικότητα για να αναζητήσουν συνεργατικές λύσεις σε σύνθετες προκλήσεις. Οι νέοι είναι ζωτικής σημασίας στην αντιμετώπιση των τοπικών ζητημάτων επειδή ζουν την καθημερινή πραγματικότητα των γειτονιών τους, γνωρίζουν τα δυνατά και τα τρωτά σημεία των κοινοτήτων τους και κατανοούν τον πολιτισμό και τις κοινές αξίες.","Los jóvenes tienen un potencial único, así como la energía, el entusiasmo, el optimismo y la creatividad para buscar soluciones colaborativas a desafíos complejos. Los jóvenes son fundamentales para abordar los problemas locales porque viven la realidad diaria de sus barrios, conocen las fortalezas y vulnerabilidades de sus comunidades y comprenden la cultura y los valores comunes."
str_181,🏘️,🏘️,🏘️
str_182,"The group of people with whom you share a space, interests, or values","Η ομάδα ανθρώπων με τους οποίους μοιράζεστε έναν χώρο, ενδιαφέροντα ή αξίες","El grupo de personas con las que compartes un espacio, intereses o valores"
str_183,Click to explore ↓,Κάντε κλικ για εξερεύνηση ↓,Haz clic para explorar ↓
str_184,Solidarity,Αλληλεγγύη,Solidaridad
str_185,The mutual support that unites the members of a community,Η αμοιβαία υποστήριξη που ενώνει τα μέλη μιας κοινότητας,El apoyo mutuo que une a los miembros de una comunidad
str_186,Territory,Περιοχή,Territorio
str_187,The physical and symbolic space that defines the community,Ο φυσικός και συμβολικός χώρος που ορίζει την κοινότητα,El espacio físico y simbólico que define a la comunidad
str_188,Sense of Belonging,Αίσθημα του ανήκειν,Sentido de pertenencia
str_189,Feeling part of something larger than yourself — vital for inclusion,Νιώθοντας μέρος κάτι μεγαλύτερου από τον εαυτό σας — ζωτικής σημασίας για την ένταξη,Sentirse parte de algo más grande que uno mismo — vital para la inclusión
str_190,"The concept of community is related to a set of social relations, based on something its members have in common.","Η έννοια της κοινότητας σχετίζεται με ένα σύνολο κοινωνικών σχέσεων, που βασίζονται σε κάτι κοινό που έχουν τα μέλη της.","El concepto de comunidad está relacionado con un conjunto de relaciones sociales, basadas en algo que sus miembros tienen en común."
str_191,"Solidarity is the result produced from shared interests, objectives and patterns within a group. It is what keeps communities moving in difficult situations — such as the COVID-19 pandemic, economic crises, situations of racism, discrimination against minorities, and wars. It is important that, as a young leader, you explain to your peers during the development of a SIP that community connection does not exist if solidarity is absent from the group.","Η αλληλεγγύη είναι το αποτέλεσμα που παράγεται από κοινά ενδιαφέροντα, στόχους και μοτίβα μέσα σε μια ομάδα. Είναι αυτό που κρατά τις κοινότητες σε κίνηση σε δύσκολες καταστάσεις — όπως η πανδημία COVID-19, οι οικονομικές κρίσεις, οι καταστάσεις ρατσισμού, οι διακρίσεις εις βάρος μειονοτήτων και οι πόλεμοι. Είναι σημαντικό, ως νέος ηγέτης, να εξηγήσετε στους συνομηλίκους σας κατά την ανάπτυξη ενός SIP ότι η σύνδεση με την κοινότητα δεν υπάρχει εάν η αλληλεγγύη απουσιάζει από την ομάδα.","La solidaridad es el resultado producido por intereses, objetivos y patrones compartidos dentro de un grupo. Es lo que mantiene a las comunidades en movimiento en situaciones difíciles — como la pandemia de COVID-19, crisis económicas, situaciones de racismo, discriminación contra minorías y guerras. Es importante que, como joven líder, expliques a tus compañeros durante el desarrollo de un SIP que la conexión comunitaria no existe si falta solidaridad en el grupo."
str_192,"Territory refers to the specific geographic area where a group of people, a community or a neighbourhood lives. Common practices and similar ways of living in a defined area are elements that contribute to the building of a spirit of identity and belonging to a specific place. By supporting local initiatives, young leaders can contribute — through their social actions — to growing or reinforcing a sense of community and inspire their peers to participate too.","Η επικράτεια αναφέρεται στη συγκεκριμένη γεωγραφική περιοχή όπου ζει μια ομάδα ανθρώπων, μια κοινότητα ή μια γειτονιά. Οι κοινές πρακτικές και οι παρόμοιοι τρόποι ζωής σε μια καθορισμένη περιοχή είναι στοιχεία που συμβάλλουν στην οικοδόμηση ενός πνεύματος ταυτότητας και του ανήκειν σε έναν συγκεκριμένο τόπο. Υποστηρίζοντας τις τοπικές πρωτοβουλίες, οι νέοι ηγέτες μπορούν να συμβάλουν — μέσω των κοινωνικών τους δράσεων — στην ανάπτυξη ή την ενίσχυση του αισθήματος κοινότητας και να εμπνεύσουν τους συνομηλίκους τους να συμμετάσχουν κι αυτοί.","Territorio se refiere al área geográfica específica donde vive un grupo de personas, una comunidad o un barrio. Las prácticas comunes y formas similares de vivir en un área definida son elementos que contribuyen a la construcción de un espíritu de identidad y de pertenencia a un lugar específico. Apoyando iniciativas locales, los jóvenes líderes pueden contribuir —a través de sus acciones sociales— a fomentar o reforzar el sentido de comunidad e inspirar a sus compañeros a participar también."
str_193,"Social belonging is the subjective feeling of inclusion or acceptance in a group of people. This sense of community in a social group is a basic human need that people must satisfy in order to maintain their own identity, physical wellbeing, and mental health. To build a sense of belonging, it is important to create an emotional connection with other community members — this will make it possible to create a sense of trust and proximity. To promote this feeling, it is also important that each person feels respected in their values and beliefs.","Το κοινωνικό αίσθημα του ανήκειν είναι το υποκειμενικό αίσθημα ένταξης ή αποδοχής σε μια ομάδα ανθρώπων. Αυτό το αίσθημα κοινότητας σε μια κοινωνική ομάδα είναι μια βασική ανθρώπινη ανάγκη που οι άνθρωποι πρέπει να ικανοποιήσουν προκειμένου να διατηρήσουν την ταυτότητά τους, τη σωματική τους ευεξία και την ψυχική τους υγεία. Για να οικοδομηθεί ένα αίσθημα του ανήκειν, είναι σημαντικό να δημιουργηθεί μια συναισθηματική σύνδεση με άλλα μέλη της κοινότητας — αυτό θα καταστήσει δυνατή τη δημιουργία ενός αισθήματος εμπιστοσύνης και εγγύτητας. Για να προωθηθεί αυτό το αίσθημα, είναι επίσης σημαντικό κάθε άτομο να αισθάνεται σεβασμός στις αξίες και τις πεποιθήσεις του.","Pertenencia social es la sensación subjetiva de inclusión o aceptación en un grupo de personas. Este sentido de comunidad en un grupo social es una necesidad humana básica que las personas deben satisfacer para mantener su propia identidad, bienestar físico y salud mental. Para crear un sentido de pertenencia, es importante crear una conexión emocional con otros miembros de la comunidad; esto hará posible crear un sentido de confianza y proximidad. Para promover este sentimiento, también es importante que cada persona se sienta respetada en sus valores y creencias."
str_194,Needs Analysis,Ανάλυση Αναγκών,Análisis de necesidades
str_195,for practical guidance,για πρακτική καθοδήγηση,Para orientación práctica
str_196,Hover each method,Τοποθετήστε τον δείκτη του ποντικιού σε κάθε μέθοδο,Pasa el cursor por cada método
str_197,"What do you notice when observing your target group in context? Focus on behaviours, attitudes and reactions. What tensions or needs become visible when you simply pay attention?","Τι παρατηρείτε όταν παρακολουθείτε την ομάδα-στόχο σας στο συγκεκριμένο πλαίσιο; Εστιάζετε σε συμπεριφορές, στάσεις και αντιδράσεις. Ποιες εντάσεις ή ανάγκες γίνονται ορατές όταν απλώς δίνετε προσοχή;","¿Qué notas al observar a tu grupo objetivo en contexto? Céntrate en los comportamientos, actitudes y reacciones. ¿Qué tensiones o necesidades se hacen visibles cuando simplemente prestas atención?"
str_198,👁️,👁️,👁️
str_199,Observations,Παρατηρήσεις,Observaciones
str_200,What would you like to know about your target group? Go prepared — list your questions first. Focus on both verbal and non-verbal communication. Let their stories guide your understanding.,Τι θα θέλατε να μάθετε για την ομάδα-στόχο σας; Να είστε προετοιμασμένοι — απαριθμήστε πρώτα τις ερωτήσεις σας. Εστιάστε τόσο στη λεκτική όσο και στη μη λεκτική επικοινωνία. Αφήστε τις ιστορίες τους να καθοδηγήσουν την κατανόησή σας.,¿Qué te gustaría saber sobre tu grupo objetivo? Prepárate — enumera primero tus preguntas. Concéntrate tanto en la comunicación verbal como no verbal. Deja que sus historias guíen tu comprensión.
str_201,🎙️,🎙️,🎙️
str_202,Interviews,Συνεντεύξεις,Entrevistas
str_203,What data do you want to know about your target group? Prepare a questionnaire with related questions to collect what you need and plan your SIP actions.,"Ποια δεδομένα θέλετε να γνωρίζετε για την ομάδα-στόχο σας; Προετοιμάστε ένα ερωτηματολόγιο με σχετικές ερωτήσεις για να συλλέξετε ό,τι χρειάζεστε και να σχεδιάσετε τις δράσεις σας στο πλαίσιο του SIP.",¿Qué datos quieres saber sobre tu grupo objetivo? Prepara un cuestionario con preguntas relacionadas para recopilar lo que necesitas y planificar tus acciones SIP.
str_204,Surveys,Έρευνες,Encuestas
str_205,"Are there strong relations between people in your community? Do people trust each other? Do they share values, religion or interests? Build on strengths rather than starting from scratch.","Υπάρχουν ισχυρές σχέσεις μεταξύ των ανθρώπων στην κοινότητά σας; Εμπιστεύονται οι άνθρωποι ο ένας τον άλλον; Μοιράζονται αξίες, θρησκεία ή ενδιαφέροντα; Βασιστείτε στα δυνατά σημεία αντί να ξεκινάτε από το μηδέν.","¿Existen relaciones fuertes entre las personas de tu comunidad? ¿La gente confía en los demás? ¿Comparten valores, religión o intereses? Construye sobre tus fortalezas en lugar de empezar desde cero."
str_206,Strengths,Δυνατά σημεία,Fortalezas
str_207,Are there specific urgent issues to address? What is missing in your community? How can young people contribute to finding a solution?,Υπάρχουν συγκεκριμένα επείγοντα ζητήματα που πρέπει να αντιμετωπιστούν; Τι λείπει από την κοινότητά σας; Πώς μπορούν οι νέοι να συμβάλουν στην εύρεση λύσης;,¿Hay asuntos urgentes específicos que atender? ¿Qué falta en vuestra comunidad? ¿Cómo pueden los jóvenes contribuir a encontrar una solución?
str_208,Gaps,Κενά,Huecos
str_209,What resources are available in your community? How does the community mobilise them? Who can you contact to present your SIP?,Ποιοι πόροι είναι διαθέσιμοι στην κοινότητά σας; Πώς τους κινητοποιεί η κοινότητα; Με ποιον μπορείτε να επικοινωνήσετε για να παρουσιάσετε το SIP σας;,¿Qué recursos hay disponibles en tu comunidad? ¿Cómo los moviliza la comunidad? ¿A quién puedes contactar para presentar tu SIP?
str_210,Resources,Πόροι,Recursos
str_211,Community Profile,Προφίλ Κοινότητας,Perfil de la comunidad
str_212,Understanding your community is the foundation of any effective Social Impact Project. The diagram below shows the five key steps and the dimensions to explore at each stage.,Η κατανόηση της κοινότητάς σας αποτελεί το θεμέλιο κάθε αποτελεσματικού Έργου Κοινωνικού Αντίκτυπου. Το παρακάτω διάγραμμα δείχνει τα πέντε βασικά βήματα και τις διαστάσεις που πρέπει να διερευνηθούν σε κάθε στάδιο.,Comprender tu comunidad es la base de cualquier Proyecto de Impacto Social eficaz. El diagrama siguiente muestra los cinco pasos clave y las dimensiones a explorar en cada etapa.
str_213,"Observing and understanding your community's structure is essential — it is often an important source of social relations and information such as beliefs, attitudes, values and common objectives.","Η παρατήρηση και η κατανόηση της δομής της κοινότητάς σας είναι απαραίτητη — συχνά αποτελεί σημαντική πηγή κοινωνικών σχέσεων και πληροφοριών, όπως πεποιθήσεις, στάσεις, αξίες και κοινοί στόχοι.","Observar y comprender la estructura de tu comunidad es esencial: a menudo es una fuente importante de relaciones sociales e información como creencias, actitudes, valores y objetivos comunes."
str_214,DEFINE YOUR COMMUNITY,ΟΡΙΣΕ ΤΗΝ ΚΟΙΝΟΤΗΤΑ ΣΟΥ,DEFINE TU COMUNIDAD
str_215,Click for guiding questions,Κάνε κλικ για ερωτήσεις καθοδήγησης,Haz clic para preguntas orientativas
str_216,POPULATION,ΠΛΗΘΥΣΜΟΣ,POBLACIÓN
